Year,H,2B,3B,HR,SB,BB,SO
1871,12.21,1.71,0.94,0.19,1.74,1.55,0.69
1872,12.2,1.59,0.4,0.1,0.73,0.72,0.72
1873,12.38,1.43,0.53,0.12,0.79,0.84,0.7
1874,11.26,1.37,0.42,0.09,0.52,0.51,0.77
1875,9.87,1.22,0.4,0.06,0.91,0.36,0.98
1876,10.27,1.22,0.35,0.08,1.22,0.65,1.13
1877,10.29,1.2,0.57,0.07,1.22,0.96,2.02
1878,9.62,1.31,0.36,0.06,1.22,0.99,2.94
1879,9.61,1.49,0.49,0.09,1.22,0.79,2.87
1880,8.74,1.44,0.48,0.09,1.22,1.09,2.93
1881,9.43,1.59,0.45,0.11,1.22,1.54,2.65
1882,9.03,1.41,0.54,0.16,1.22,1.39,1.89
1883,9.44,1.58,0.6,0.15,1.22,1.48,1.83
1884,8.61,1.3,0.5,0.22,1.22,1.6,1.4
1885,8.6,1.23,0.54,0.18,1.22,1.98,1.87
1886,8.54,1.27,0.55,0.2,1.54,2.64,2.02
1887,9.56,1.46,0.66,0.29,3,2.86,2.8
1888,8.24,1.12,0.48,0.24,2.41,2.16,3.76
1889,9.25,1.38,0.5,0.31,2.21,3.36,3.52
1890,9.15,1.31,0.59,0.24,2.13,3.64,2.04
1891,8.89,1.19,0.57,0.26,1.88,3.62,3.45
1892,8.49,1.09,0.55,0.23,1.74,3.35,3.24
1893,10.14,1.4,0.67,0.29,1.75,3.91,2.13
1894,11.14,1.72,0.81,0.39,1.97,3.67,2.09
1895,10.53,1.51,0.62,0.31,1.81,3.2,2.27
1896,10.19,1.37,0.64,0.26,1.93,3.06,2.22
1897,10.19,1.43,0.59,0.23,1.67,2.92,2.3
1898,9.2,1.13,0.49,0.16,1.12,2.76,2.29
1899,9.61,1.19,0.55,0.19,1.45,2.7,2.09
1900,9.6,1.26,0.53,0.22,1.48,2.67,2.36
1901,9.44,1.32,0.56,0.2,1.28,2.46,3.14
1902,9.11,1.27,0.44,0.16,1.2,2.44,2.97
1903,8.88,1.36,0.52,0.15,1.23,2.41,3.55
1904,8.15,1.14,0.46,0.13,1.11,2.23,3.72
1905,8.2,1.16,0.45,0.14,1.19,2.5,3.85
1906,8.04,1.07,0.41,0.11,1.22,2.51,3.71
1907,7.99,1,0.39,0.1,1.13,2.47,3.58
1908,7.75,1.01,0.4,0.11,1.09,2.36,3.65
1909,7.92,1.07,0.4,0.1,1.23,2.62,3.78
1910,8.14,1.13,0.46,0.14,1.31,2.97,3.87
1911,8.86,1.32,0.53,0.21,1.38,3.17,3.99
1912,8.94,1.36,0.55,0.18,1.38,3.12,3.93
1913,8.52,1.24,0.51,0.19,1.32,2.94,3.76
1914,8.28,1.23,0.46,0.19,1.22,2.96,3.93
1915,8.17,1.22,0.47,0.17,1.1,2.98,3.76
1916,8.13,1.2,0.46,0.15,1.1,2.84,3.82
1917,8.18,1.17,0.46,0.13,0.97,2.77,3.48
1918,8.41,1.14,0.44,0.12,0.99,2.83,2.92
1919,8.78,1.31,0.47,0.2,0.93,2.68,3.06
1920,9.43,1.46,0.51,0.26,0.7,2.76,2.94
1921,10.08,1.62,0.55,0.38,0.6,2.79,2.83
1922,9.94,1.59,0.5,0.43,0.59,2.93,2.81
1923,9.82,1.59,0.46,0.4,0.64,3.07,2.85
1924,9.86,1.66,0.48,0.36,0.61,2.99,2.7
1925,10.14,1.77,0.48,0.48,0.57,3.15,2.71
1926,9.52,1.68,0.47,0.35,0.52,3.12,2.75
1927,9.69,1.68,0.47,0.37,0.58,3.01,2.79
1928,9.64,1.72,0.46,0.44,0.52,3.11,2.88
